Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3],Global Warming Potential Manufacturing [kgCO2-eqv] (min),Global Warming Potential Manufacturing [kgCO2-eqv] (mean),Global Warming Potential Manufacturing [kgCO2-eqv] (max),Global Warming Potential Disposal [kgCO2-eqv] (min),Global Warming Potential Disposal [kgCO2-eqv] (mean),Global Warming Potential Disposal [kgCO2-eqv] (max),Global Warming Potential Total [kgCO2-eqv] (min),Global Warming Potential Total [kgCO2-eqv] (mean),Global Warming Potential Total [kgCO2-eqv] (max),Biogenic Carbon [kg C] (min),Biogenic Carbon [kg C] (mean),Biogenic Carbon [kg C] (max),UBP (Total) (min),UBP (Total) (mean),UBP (Total) (max),Total Renewable Primary Energy [kWh oil-eq] (min),Total Renewable Primary Energy [kWh oil-eq] (mean),Total Renewable Primary Energy [kWh oil-eq] (max),Total Non-Renewable Primary Energy [kWh oil-eq] (min),Total Non-Renewable Primary Energy [kWh oil-eq] (mean),Total Non-Renewable Primary Energy [kWh oil-eq] (max)
aebc0975e3,True,2,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,IfcBuildingElementProxy,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,<Unnamed>,0,,33.18,309.2376,0.07,1048.831,2147.4705,3246.11,1.4913,2.6618,3.8323,1050.714,2151.177,3251.64,0.0,0.0,0.0,2353750.0,4771375.0,7189000.0,984.809,1236.1895,1487.57,4669.84,8500.87,12331.9
1fde2b1291,True,8,Basic Wall:3-Schichtplatte 27mm - Schalplatte,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm - Schalplatte,3-Schicht-Platte,0,0.027,37.3238,13.2503,0.3576,67.065,67.065,67.065,8.9582,8.9582,8.9582,75.9746,75.9746,75.9746,70.1429,70.1429,70.1429,163612.728,163612.728,163612.728,2154.5042,2154.5042,2154.5042,353.1443,353.1443,353.1443
6d9cf675f7,True,2,Basic Wall:3-Schichtplatte 27mm B/C,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm B/C,3-Schicht-Platte,0,0.027,1.7031,3.7039,0.0999,18.7354,18.7354,18.7354,2.5026,2.5026,2.5026,21.2245,21.2245,21.2245,19.5953,19.5953,19.5953,45707.247,45707.247,45707.247,601.8875,601.8875,601.8875,98.6552,98.6552,98.6552
16380cc63d,True,2,Basic Wall:3-Schichtplatte 27mm C+/C,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm C+/C,3-Schicht-Platte,0,0.027,7.7979,2.8073,0.0757,14.1969,14.1969,14.1969,1.8964,1.8964,1.8964,16.083,16.083,16.083,14.8485,14.8485,14.8485,34635.021,34635.021,34635.021,456.0849,456.0849,456.0849,74.7568,74.7568,74.7568
30abe42a62,True,2,Basic Wall:3-Schichtplatte 40mm,IfcWallStandardCase,Basic Wall:3-Schichtplatte 40mm,3-Schicht-Platte,0,0.04,0.9,2.2834,0.0913,17.1226,17.1226,17.1226,2.2871,2.2871,2.2871,19.3973,19.3973,19.3973,17.9084,17.9084,17.9084,41772.489,41772.489,41772.489,550.0734,550.0734,550.0734,90.1624,90.1624,90.1624
ce0cc1e825_L1,True,6,Basic Wall:Blechverkleidung gedämmt (L1),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,"Stahl, 45-34, Pulverbeschichtung schwarz",1,0.003,0.6939,1.2595,0.0037,130.1216,130.1216,130.1216,0.2013,0.2013,0.2013,130.4121,130.4121,130.4121,0.0,0.0,0.0,441484.0,441484.0,441484.0,40.663,40.663,40.663,453.102,453.102,453.102
ce0cc1e825_L2,True,6,Basic Wall:Blechverkleidung gedämmt (L2),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,Wärmedämmung Slentex Aerogel,2,0.046,0.6939,1.2595,0.0571,414.546,414.546,414.546,2.4753,2.4753,2.4753,417.1155,417.1155,417.1155,0.0,0.0,0.0,630384.0,630384.0,630384.0,107.919,107.919,107.919,1969.95,1969.95,1969.95
ce0cc1e825_L3,True,6,Basic Wall:Blechverkleidung gedämmt (L3),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,"Stahl, 45-34, Pulverbeschichtung schwarz",3,0.003,0.6939,1.2595,0.0037,130.1216,130.1216,130.1216,0.2013,0.2013,0.2013,130.4121,130.4121,130.4121,0.0,0.0,0.0,441484.0,441484.0,441484.0,40.663,40.663,40.663,453.102,453.102,453.102
cb2d94d550,True,3,Basic Wall:Brandschutzplatte 28mm,IfcWallStandardCase,Basic Wall:Brandschutzplatte 28mm,Gipsfaserplatte,0,0.028,4.9986,9.3225,0.2607,97.5174,132.1305,166.7437,5.7218,5.7703,5.8188,103.0547,137.8712,172.6877,14.0465,16.5135,18.9805,183345.096,228227.208,273109.32,30.6583,121.4601,212.2619,452.2102,612.4625,772.7148
65d0e0c8a6,True,10,Basic Wall:BSP 140 - 5s,IfcWall,Basic Wall:BSP 140 - 5s,Brettschichtholz C24,0,0.14,54.34,120.8568,13.9934,1253.1929,1505.0601,1756.9273,302.2406,302.2406,302.2406,1554.205,1806.0722,2057.9394,2739.8238,2742.8953,2745.9669,4183452.8706,4453749.385,4724045.8994,49206.2518,49605.5535,50004.8552,7371.7231,8385.335,9398.947
ff0022f92c,True,16,Basic Wall:BSP 140 - 5s (2),IfcWallStandardCase,Basic Wall:BSP 140 - 5s,Brettschichtholz C24,0,0.14,24.1715,49.5285,6.9166,619.423,743.9149,868.4068,149.3903,149.3903,149.3903,768.206,892.6979,1017.1898,1354.2288,1355.747,1357.2652,2067779.8194,2201380.865,2334981.9106,24321.4631,24518.8282,24716.1934,3643.6649,4144.6688,4645.6727
325c6f48a0,True,9,Basic Wall:BSP 140 Sichtseite einseitig,IfcWall,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,27.24,61.2555,7.3126,1371.4196,1371.4196,1371.4196,183.1872,183.1872,183.1872,1553.6131,1553.6131,1553.6131,1434.3592,1434.3592,1434.3592,3345733.878,3345733.878,3345733.878,44057.6837,44057.6837,44057.6837,7221.485,7221.485,7221.485
a5c867b4fd,True,2,Basic Wall:BSP 140 Sichtseite einseitig (2),IfcWallStandardCase,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,2.37,7.5063,0.9909,185.8354,185.8354,185.8354,24.8229,24.8229,24.8229,210.5236,210.5236,210.5236,194.364,194.364,194.364,453366.477,453366.477,453366.477,5970.0734,5970.0734,5970.0734,978.5534,978.5534,978.5534
369c58d53c,True,2,Basic Wall:Fensterlaibung 24mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 24mm,"Massivholz Fichte, schwarz lasiert",0,0.024,0.44,0.9312,0.0224,0.8789,1.1373,1.3957,0.4062,0.415,0.4237,1.3037,1.5529,1.802,4.4868,4.5922,4.6976,3324.384,4141.2,4958.016,53.0163,58.0166,63.0168,5.193,6.6431,8.0932
6125c4d99e,True,2,Basic Wall:Fensterlaibung 40mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 40mm,"Massivholz Fichte, schwarz lasiert",0,0.04,0.392,0.8664,0.0346,1.3718,1.7638,2.1559,0.5667,0.5971,0.6275,1.9328,2.3581,2.7834,6.5539,6.905,7.2561,6248.76,6953.562,7658.364,97.3384,121.1839,145.0294,6.7864,9.6438,12.5012
031893e96a,True,5,Basic Wall:Gipsfaserplatte Vidiwall 15mm,IfcWallStandardCase,Basic Wall:Gipsfaserplatte Vidiwall 15mm,Gipsfaserplatte,0,0.015,9.0553,16.2994,0.2444,91.4203,123.8692,156.3182,5.3641,5.4095,5.455,96.6113,129.2509,161.8906,13.1683,15.481,17.7938,171881.632,213957.536,256033.44,28.7414,113.8659,198.9905,423.9362,574.1689,724.4016
f17ad5cce9_L1,True,18,Basic Wall:Holzbau_Archisonic_Vorbauschale (L1),IfcWallStandardCase,Basic Wall:Holzbau_Archisonic_Vorbauschale,Archisonic Charcoal,1,0.012,10.7162,25.8666,0.31,181.3469,181.3469,181.3469,21.235,21.235,21.235,202.5819,202.5819,202.5819,84.0906,84.0906,84.0906,329142.5,329142.5,329142.5,1242.2475,1242.2475,1242.2475,949.2045,949.2045,949.2045
f17ad5cce9_L2,True,18,Basic Wall:Holzbau_Archisonic_Vorbauschale (L2),IfcWallStandardCase,Basic Wall:Holzbau_Archisonic_Vorbauschale,MDF,2,0.012,10.7162,25.8666,0.31,181.3469,181.3469,181.3469,21.235,21.235,21.235,202.5819,202.5819,202.5819,84.0906,84.0906,84.0906,329142.5,329142.5,329142.5,1242.2475,1242.2475,1242.2475,949.2045,949.2045,949.2045
78593db8a4_L1,True,3,Basic Wall:Holzfassade hinterlüftet (L1),IfcWall,Basic Wall:Holzfassade hinterlüftet,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",1,0.02,30.32,73.646,1.0979,43.0778,55.7439,68.4101,19.9104,20.3386,20.7668,63.8978,76.1092,88.3206,219.9149,225.0805,230.2461,162939.339,202974.2625,243009.186,2598.5097,2843.5885,3088.6672,254.5262,325.6015,396.6768
78593db8a4_L2,True,3,Basic Wall:Holzfassade hinterlüftet (L2),IfcWall,Basic Wall:Holzfassade hinterlüftet,Luft,2,0.03,30.32,73.646,1.6468,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
78593db8a4_L3,True,3,Basic Wall:Holzfassade hinterlüftet (L3),IfcWall,Basic Wall:Holzfassade hinterlüftet,Luft,3,0.04,30.32,73.646,2.1957,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
ff0919332f,True,5,Basic Wall:Holzfassade_Hinterlüftet_Laibung,IfcWallStandardCase,Basic Wall:Holzfassade_Hinterlüftet_Laibung,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",0,0.02,5.1492,16.3305,0.3234,12.6891,16.4201,20.1511,5.8649,5.991,6.1171,18.8219,22.4189,26.0159,64.7786,66.3002,67.8218,47995.794,59788.575,71581.356,765.4231,837.614,909.805,74.9738,95.9099,116.846
5376ff48b3,True,4,Basic Wall:Holzfassade_Hinterlüftet_Laibung (2),IfcWall,Basic Wall:Holzfassade_Hinterlüftet_Laibung,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",0,0.02,23.516,0.0476,0.242,9.4952,12.2871,15.079,4.3887,4.4831,4.5774,14.0844,16.7761,19.4677,48.4738,49.6124,50.751,35915.22,44739.75,53564.28,572.7656,626.786,680.8065,56.1029,71.7694,87.4358
dfff60526d,True,3,Basic Wall:Holzfassade_Hinterlüftet_OhneUK,IfcWallStandardCase,Basic Wall:Holzfassade_Hinterlüftet_OhneUK,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",0,0.021,2.9335,6.1872,0.1295,5.0811,6.5751,8.0691,2.3485,2.399,2.4495,7.5369,8.9772,10.4176,25.9395,26.5488,27.1581,19219.095,23941.3125,28663.53,306.5006,335.4083,364.3159,30.022,38.4055,46.789
7b9763d32a_L1,True,30,Basic Wall:Innenwandelement Archisonic abnehmbar (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar,Archisonic Charcoal,1,0.012,16.7907,33.5067,0.4016,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
7b9763d32a_L2,True,30,Basic Wall:Innenwandelement Archisonic abnehmbar (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar,MDF,2,0.012,16.7907,33.5067,0.4016,234.932,234.932,234.932,27.5096,27.5096,27.5096,262.4416,262.4416,262.4416,108.938,108.938,108.938,426398.8,426398.8,426398.8,1609.3116,1609.3116,1609.3116,1229.6791,1229.6791,1229.6791
3ece908374_L1,True,7,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten,Archisonic Charcoal,1,0.012,4.6225,8.9557,0.1064,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
3ece908374_L2,True,7,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten,MDF,2,0.012,4.6225,8.9557,0.1064,62.2429,62.2429,62.2429,7.2884,7.2884,7.2884,69.5313,69.5313,69.5313,28.8621,28.8621,28.8621,112970.2,112970.2,112970.2,426.3714,426.3714,426.3714,325.7915,325.7915,325.7915
75d64ea952_L1,True,7,Basic Wall:Innenwandelement Archisonic fix (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix,Archisonic Charcoal,1,0.012,3.7362,7.6364,0.0788,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
75d64ea952_L2,True,7,Basic Wall:Innenwandelement Archisonic fix (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix,MDF,2,0.012,3.7362,7.6364,0.0788,46.0972,46.0972,46.0972,5.3978,5.3978,5.3978,51.495,51.495,51.495,21.3753,21.3753,21.3753,83665.9,83665.9,83665.9,315.7713,315.7713,315.7713,241.2817,241.2817,241.2817
6621a241af_L1,True,10,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte,Archisonic Charcoal,1,0.012,5.5027,10.4326,0.125,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
6621a241af_L2,True,10,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte,MDF,2,0.012,5.5027,10.4326,0.125,73.1238,73.1238,73.1238,8.5625,8.5625,8.5625,81.6863,81.6863,81.6863,33.9075,33.9075,33.9075,132718.75,132718.75,132718.75,500.9062,500.9062,500.9062,382.7437,382.7437,382.7437
f3de7c9098,True,18,Basic Wall:Innenwandelement Archisonic ohne MDF,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,Archisonic Charcoal,0,0.012,17.6819,11.7994,0.1417,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
d372e74286,True,11,Basic Wall:KVH Balken 120mm,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,Brettschichtholz C24,0,0.12,43.933,9.3071,1.1024,98.7265,118.5686,138.4107,23.8105,23.8105,23.8105,122.4403,142.2824,162.1245,215.8433,216.0853,216.3273,329572.4016,350866.36,372160.3184,3876.4683,3907.9253,3939.3823,580.7443,660.5966,740.449
6f5992e3c2,True,4,Basic Wall:Massivholz 24mm,IfcWallStandardCase,Basic Wall:Massivholz 24mm,Massivholz Fichte,0,0.024,0.3678,0.9548,0.0231,0.9064,1.1729,1.4394,0.4189,0.4279,0.4369,1.3444,1.6014,1.8583,4.627,4.7357,4.8444,3428.271,4270.6125,5112.954,54.6731,59.8296,64.9861,5.3553,6.8507,8.3461
795c75da48,True,5,Basic Wall:Purenit Fusspunkt,IfcWall,Basic Wall:Purenit Fusspunkt,Purenit,0,0.025,27.69,7.5912,0.1765,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
6bc3c88965,True,4,Basic Wall:Purenit Fusspunkt (2),IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,Purenit,0,0.025,2.6511,0.9442,0.0235,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
c7d2a47639,True,5,Basic Wall:PV Fassade Terasse,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,Körpermodell,0,0.008,6.1,18.3854,0.1471,87.3307,1597.2316,3107.1326,18.1832,129.516,240.8487,105.5322,1725.8375,3346.1428,0.0,0.0,0.0,202239.4,3125518.0,6048796.6,37.5062,691.6588,1345.8113,485.3746,6705.1554,12924.9362
23b6fd65cb_L1,True,4,Basic Wall:Wärmedämmung_200 (L1),IfcWallStandardCase,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,12.5475,19.415,1.925,72.765,99.0432,125.3214,3.9886,6.8946,9.8006,76.8075,105.9481,135.0888,0.0,0.0,0.0,138792.5,181970.25,225148.0,21.3579,147.2577,273.1575,396.8388,465.7826,534.7265
23b6fd65cb_L2,True,4,Basic Wall:Wärmedämmung_200 (L2),IfcWallStandardCase,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",2,0.1,12.5475,19.415,1.925,72.765,99.0432,125.3214,3.9886,6.8946,9.8006,76.8075,105.9481,135.0888,0.0,0.0,0.0,138792.5,181970.25,225148.0,21.3579,147.2577,273.1575,396.8388,465.7826,534.7265
0087876720_L1,True,6,Basic Wall:Wärmedämmung_200 (2) (L1),IfcWall,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,29.77,85.4521,6.6759,252.349,343.4817,434.6144,13.8325,23.9104,33.9883,266.3684,367.4282,468.488,0.0,0.0,0.0,481332.39,631072.827,780813.264,74.0691,510.6897,947.3102,1376.2368,1615.3341,1854.4315
