Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3],GWPbiogenic (min),GWPbiogenic (mean),GWPbiogenic (max),GWPfossil (min),GWPfossil (mean),GWPfossil (max),GWPtotal (min),GWPtotal (mean),GWPtotal (max),GWPtotal (A1-A3) (min),GWPtotal (A1-A3) (mean),GWPtotal (A1-A3) (max),GWPtotal (A4) (min),GWPtotal (A4) (mean),GWPtotal (A4) (max),GWPtotal (A5) (min),GWPtotal (A5) (mean),GWPtotal (A5) (max),GWPtotal (C1) (min),GWPtotal (C1) (mean),GWPtotal (C1) (max),GWPtotal (C2) (min),GWPtotal (C2) (mean),GWPtotal (C2) (max),GWPtotal (C3) (min),GWPtotal (C3) (mean),GWPtotal (C3) (max),GWPtotal (C4) (min),GWPtotal (C4) (mean),GWPtotal (C4) (max)
aebc0975e3,True,2,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,IfcBuildingElementProxy,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,<Unnamed>,0,,33.18,309.2376,0.07,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched,not matched
1fde2b1291,True,8,Basic Wall:3-Schichtplatte 27mm - Schalplatte,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm - Schalplatte,3-Schicht-Platte,0,0.027,37.3238,13.2503,0.3576,-288.3788,-143.9121,0.5545,109.5402,85.8234,62.1065,56.8267,60.0817,63.3368,-235.6653,-227.7218,-219.7783,0.0,0.0,0.0,0.3115,0.1557,0.0,0.0,0.0,0.0,0.2405,0.4077,0.5749,291.94,287.2401,282.5402,0.0,0.0,0.0
6d9cf675f7,True,2,Basic Wall:3-Schichtplatte 27mm B/C,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm B/C,3-Schicht-Platte,0,0.027,1.7031,3.7039,0.0999,-80.5622,-40.2037,0.1549,30.6014,23.9758,17.3502,15.8752,16.7845,17.6939,-65.836,-63.6169,-61.3978,0.0,0.0,0.0,0.087,0.0435,0.0,0.0,0.0,0.0,0.0672,0.1139,0.1606,81.5571,80.2441,78.9311,0.0,0.0,0.0
16380cc63d,True,2,Basic Wall:3-Schichtplatte 27mm C+/C,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm C+/C,3-Schicht-Platte,0,0.027,7.7979,2.8073,0.0757,-61.0466,-30.4646,0.1174,23.1885,18.1679,13.1473,12.0296,12.7187,13.4077,-49.8878,-48.2062,-46.5247,0.0,0.0,0.0,0.0659,0.033,0.0,0.0,0.0,0.0,0.0509,0.0863,0.1217,61.8005,60.8056,59.8107,0.0,0.0,0.0
30abe42a62,True,2,Basic Wall:3-Schichtplatte 40mm,IfcWallStandardCase,Basic Wall:3-Schichtplatte 40mm,3-Schicht-Platte,0,0.04,0.9,2.2834,0.0913,-73.6269,-36.7427,0.1416,27.9671,21.9119,15.8566,14.5086,15.3396,16.1707,-60.1685,-58.1404,-56.1123,0.0,0.0,0.0,0.0795,0.0398,0.0,0.0,0.0,0.0,0.0614,0.1041,0.1468,74.5361,73.3362,72.1362,0.0,0.0,0.0
ce0cc1e825_L1,True,6,Basic Wall:Blechverkleidung gedämmt (L1),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,"Stahl, 45-34, Pulverbeschichtung schwarz",1,0.003,0.6939,1.2595,0.0037,0.0084,0.0209,0.0335,20.9133,50.3414,79.7694,20.9308,50.3841,79.8374,20.8949,50.2999,79.7049,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0056,0.0088,0.0335,0.0786,0.1237,0.0,0.0,0.0,0.0,0.0,0.0
ce0cc1e825_L2,True,6,Basic Wall:Blechverkleidung gedämmt (L2),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,Wärmedämmung Slentex Aerogel,2,0.046,0.6939,1.2595,0.0571,0.5565,0.5565,0.5565,48.1921,48.1921,48.1921,49.063,49.063,49.063,45.6372,45.6372,45.6372,0.0,0.0,0.0,3.1856,3.1856,3.1856,0.0,0.0,0.0,0.1638,0.1638,0.1638,0.0,0.0,0.0,0.0764,0.0764,0.0764
ce0cc1e825_L3,True,6,Basic Wall:Blechverkleidung gedämmt (L3),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,"Stahl, 45-34, Pulverbeschichtung schwarz",3,0.003,0.6939,1.2595,0.0037,0.0665,0.05,0.0335,22.9556,51.3625,79.7694,23.0285,51.433,79.8374,22.1099,50.9074,79.7049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0088,0.2601,0.1919,0.1237,0.6585,0.3292,0.0,0.0,0.0,0.0
cb2d94d550,True,3,Basic Wall:Brandschutzplatte 28mm,IfcWallStandardCase,Basic Wall:Brandschutzplatte 28mm,Gipsfaserplatte,0,0.028,4.9986,9.3225,0.2607,-16.6766,-16.6766,-16.6766,131.0869,131.0869,131.0869,60.5035,60.5035,60.5035,37.5446,37.5446,37.5446,1.2856,1.2856,1.2856,0.0141,0.0141,0.0141,0.0,0.0,0.0,0.8792,0.8792,0.8792,20.7801,20.7801,20.7801,0.0,0.0,0.0
65d0e0c8a6,True,10,Basic Wall:BSP 140 - 5s,IfcWall,Basic Wall:BSP 140 - 5s,Brettschichtholz C24,0,0.14,54.34,120.8568,13.9934,97.8801,48.94,0.0,2335.3781,2530.4728,2725.5675,1197.0086,1966.5821,2736.1556,-9610.5294,-8683.8622,-7757.195,0.0,33.4556,66.9111,0.0,9.6933,19.3866,0.0,0.0,0.0,20.5235,144.0952,267.6668,10787.0146,10463.2002,10139.3859,0.0,0.0,0.0
ff0022f92c,True,16,Basic Wall:BSP 140 - 5s (2),IfcWallStandardCase,Basic Wall:BSP 140 - 5s,Brettschichtholz C24,0,0.14,24.1715,49.5285,6.9166,48.3798,24.1899,0.0,1154.3211,1250.7517,1347.1823,591.6525,972.0341,1352.4157,-4750.2528,-4292.2236,-3834.1943,0.0,16.5362,33.0725,0.0,4.7912,9.5823,0.0,0.0,0.0,10.1443,71.2228,132.3013,5331.7611,5171.7074,5011.6538,0.0,0.0,0.0
325c6f48a0,True,9,Basic Wall:BSP 140 Sichtseite einseitig,IfcWall,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,27.24,61.2555,7.3126,10.5414,10.9398,11.3383,1094.9389,1182.4809,1270.0229,1119.8798,1207.53,1295.1802,-4670.1486,-4582.2094,-4494.2702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7558,11.7558,11.7558,5778.2727,5777.9837,5777.6946,0.0,0.0,0.0
a5c867b4fd,True,2,Basic Wall:BSP 140 Sichtseite einseitig (2),IfcWallStandardCase,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,2.37,7.5063,0.9909,1.4284,1.4824,1.5364,148.3706,160.233,172.0955,151.7503,163.6274,175.5045,-632.8324,-620.9162,-608.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593,1.593,1.593,782.9897,782.9506,782.9114,0.0,0.0,0.0
369c58d53c,True,2,Basic Wall:Fensterlaibung 24mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 24mm,"Massivholz Fichte, schwarz lasiert",0,0.024,0.44,0.9312,0.0224,-17.8367,-8.9084,0.02,2.7349,2.7307,2.7265,1.5022,2.137,2.7719,-16.604,-16.0101,-15.4163,0.0,0.0,0.0,0.104,0.052,0.0,0.0,0.0,0.0,0.0141,0.0254,0.0367,17.9881,18.0698,18.1515,0.0,0.0,0.0
